313	79.217836ms
314	89.255407ms
315	85.724091ms
316	90.323427ms
317	73.447054ms
318	67.457834ms
319	67.869421ms
320	88.463607ms
321	82.755791ms
322	83.361418ms
323	91.738467ms
324	82.92615ms
325	61.218431ms
326	80.000955ms
327	78.246772ms
328	84.468831ms
329	74.922425ms
330	76.998305ms
331	84.989309ms
332	81.793162ms
333	93.457329ms
334	85.592879ms
335	87.430436ms
336	95.965618ms
337	90.450766ms
338	88.298596ms
339	85.312794ms
340	80.589497ms
341	92.987464ms
342	83.569237ms
343	90.363208ms
344	95.982639ms
345	67.412169ms
346	54.582122ms
347	78.233472ms
348	85.012814ms
349	91.250072ms
350	87.410856ms
351	32.288845ms
352	113.122886ms
353	74.721644ms
354	97.490626ms
355	84.484532ms
356	83.414727ms
357	100.988451ms
358	96.991413ms
359	83.269199ms
360	70.180245ms
361	95.37286ms
362	75.350435ms
363	81.404899ms
364	66.343593ms
365	74.546615ms
366	97.637714ms
367	87.944164ms
368	101.502529ms
369	101.451296ms
370	60.015438ms
371	106.252363ms
372	95.725469ms
373	93.686792ms
374	101.966026ms
375	90.160561ms
376	90.386391ms
377	97.784156ms
378	96.39982ms
379	70.414563ms
380	77.540255ms
381	86.935569ms
382	102.014137ms
383	78.058969ms
384	104.636298ms
385	101.473338ms
386	99.377533ms
387	99.079286ms
388	98.519988ms
389	102.025242ms
390	90.549802ms
391	75.606079ms
392	72.70908ms
393	99.014771ms
394	89.866989ms
395	103.372378ms
396	99.855857ms
397	111.25654ms
398	100.649282ms
399	107.727976ms
400	85.357353ms
401	98.59659ms
402	69.233851ms
403	105.418007ms
404	99.353175ms
405	82.063494ms
406	111.488204ms
407	100.750804ms
408	107.788471ms
409	111.342804ms
410	90.417942ms
411	114.773394ms
412	83.849754ms
413	44.138883ms
414	103.923681ms
415	105.779338ms
416	97.541777ms
417	63.318792ms
418	92.742743ms
419	90.461561ms
420	99.073271ms
421	100.633743ms
422	108.227814ms
423	97.455553ms
424	108.249264ms
425	85.645853ms
426	89.861427ms
427	124.284931ms
428	105.236117ms
429	83.245395ms
430	99.115056ms
431	103.153615ms
432	114.972347ms
433	102.919422ms
434	98.887526ms
435	102.730731ms
436	114.715618ms
437	102.702713ms
438	69.113254ms
439	97.885517ms
440	116.36563ms
441	64.445851ms
442	110.89171ms
443	61.199358ms
444	88.09187ms
445	113.099598ms
446	95.287721ms
447	105.194532ms
448	119.062405ms
449	116.808497ms
450	124.025472ms
451	113.007307ms
452	104.96337ms
453	131.529291ms
454	114.758621ms
455	109.422723ms
456	114.512167ms
457	116.474763ms
458	116.482115ms
459	90.652956ms
460	114.193719ms
461	74.659176ms
462	111.755389ms
463	128.568802ms
464	113.811003ms
465	118.314805ms
466	107.912038ms
467	103.530174ms
468	120.658715ms
469	108.86611ms
470	115.325099ms
471	109.745382ms
472	116.93844ms
473	129.431835ms
474	112.864884ms
475	118.241097ms
476	114.800872ms
477	121.762309ms
478	126.637653ms
479	108.419153ms
480	122.308303ms
481	108.568233ms
482	102.089666ms
483	124.972623ms
484	121.648157ms
485	94.103267ms
486	112.450265ms
487	115.264571ms
488	99.585041ms
489	99.821004ms
490	112.967112ms
491	115.062014ms
492	116.283317ms
493	86.692713ms
494	134.671665ms
495	111.575624ms
496	96.488509ms
497	127.863342ms
498	125.030221ms
499	128.881856ms
500	120.416388ms
501	126.866316ms
502	120.758847ms
503	133.084125ms
504	131.328129ms
505	78.111217ms
506	111.948027ms
507	117.277854ms
508	127.241847ms
509	130.009921ms
510	119.90862ms
511	145.294736ms
512	135.306861ms
513	117.131503ms
514	115.516804ms
515	134.072855ms
516	125.262483ms
517	135.880892ms
518	100.445699ms
519	145.125986ms
520	105.865947ms
521	132.632007ms
522	96.266185ms
523	118.080711ms
524	139.613378ms
525	134.259013ms
526	135.474169ms
527	128.493417ms
528	144.156263ms
529	131.227571ms
530	135.519573ms
531	137.956169ms
532	120.473272ms
533	116.174693ms
534	141.630171ms
535	140.105237ms
536	144.029936ms
537	147.929605ms
538	133.71182ms
539	135.31658ms
540	143.143079ms
541	144.236895ms
542	127.674102ms
543	124.166926ms
544	134.89908ms
545	140.392397ms
546	126.455144ms
547	137.020416ms
548	140.957024ms
549	143.016233ms
550	110.533118ms
551	83.348897ms
552	115.593803ms
553	123.913973ms
554	126.461663ms
555	106.341659ms
556	149.948962ms
557	132.862633ms
558	117.772938ms
559	134.276771ms
560	153.188081ms
561	144.279471ms
562	131.94604ms
563	143.846323ms
564	116.624502ms
565	145.664962ms
566	137.276927ms
567	141.440942ms
568	137.594447ms
569	113.347809ms
570	97.059898ms
571	138.452148ms
572	122.772318ms
573	130.469056ms
574	160.705182ms
575	133.440637ms
576	143.841776ms
577	132.826349ms
578	164.309565ms
579	124.082708ms
580	136.604372ms
581	126.172945ms
582	141.173221ms
583	139.720276ms
584	112.954922ms
585	142.361001ms
586	147.290535ms
587	107.667467ms
588	105.934909ms
589	141.381792ms
590	109.908106ms
591	157.176477ms
